,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Bina Yaş,Isıtma Tipi,Binanın Kat Sayısı
3359,1350000.0,eskisehir,55.0,2.0,2.0,0.0,Klimalı,5
3368,1500000.0,eskisehir,65.0,1.0,2.0,0.0,Kombi Doğalgaz,4
3372,1650000.0,eskisehir,45.0,2.0,2.0,0.0,Klimalı,4
3373,1499000.0,eskisehir,48.0,1.0,2.0,0.0,Klimalı,4
3392,1450000.0,eskisehir,55.0,1.0,2.0,0.0,Klimalı,3
3395,1600000.0,eskisehir,65.0,1.0,2.0,0.0,Sobalı,3
3398,1280000.0,eskisehir,45.0,2.0,2.0,7.0,Klimalı,4
3415,1475000.0,eskisehir,40.0,2.0,2.0,0.0,Klimalı,3
3421,975000.0,eskisehir,60.0,1.0,2.0,7.0,Kombi Doğalgaz,4
3423,13600001.0,eskisehir,45.0,2.0,2.0,13.0,Klimalı,4
3431,985000.0,eskisehir,50.0,1.0,2.0,7.0,Klimalı,2
3432,1450000.0,eskisehir,60.0,1.0,2.0,0.0,Klimalı,6
3443,1375000.0,eskisehir,50.0,1.0,2.0,0.0,Kombi Doğalgaz,2
3450,1175000.0,eskisehir,60.0,2.0,2.0,13.0,Klimalı,5
3463,1400000.0,eskisehir,55.0,1.0,2.0,7.0,Klimalı,3
3467,1500000.0,eskisehir,65.0,2.0,2.0,0.0,Klimalı,3
3484,1490000.0,eskisehir,55.0,1.0,2.0,0.0,Klimalı,6
3485,985000.0,eskisehir,40.0,2.0,2.0,7.0,Klimalı,6
3498,1560000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,2
3499,1850000.0,eskisehir,65.0,1.0,2.0,7.0,Klimalı,2
3502,1015000.0,eskisehir,60.0,2.0,2.0,7.0,Klimalı,3
3509,1370000.0,eskisehir,70.0,2.0,2.0,7.0,Kombi Doğalgaz,7
3516,1425000.0,eskisehir,55.0,2.0,2.0,0.0,Klimalı,7
3523,2500000.0,eskisehir,55.0,2.0,2.0,0.0,Klimalı,5
3525,1500000.0,eskisehir,65.0,2.0,2.0,0.0,Kombi Doğalgaz,2
3527,1250000.0,eskisehir,50.0,1.0,2.0,7.0,Klimalı,3
3528,1150000.0,eskisehir,50.0,2.0,2.0,13.0,Klimalı,2
3531,1225000.0,eskisehir,65.0,1.0,2.0,7.0,Klimalı,3
3533,1450000.0,eskisehir,50.0,2.0,2.0,13.0,Klimalı,4
3541,1060000.0,eskisehir,68.0,1.0,2.0,7.0,Klimalı,3
3542,1060000.0,eskisehir,68.0,1.0,2.0,7.0,Klimalı,3
3543,925000.0,eskisehir,55.0,2.0,2.0,13.0,Klimalı,4
3545,1075000.0,eskisehir,55.0,2.0,2.0,7.0,Klimalı,3
3555,1500000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,2
3567,1500000.0,eskisehir,65.0,1.0,2.0,0.0,Klimalı,2
3572,1345000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,4
3593,1525000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,4
3594,1675000.0,eskisehir,70.0,2.0,2.0,0.0,Klimalı,5
3631,1650000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,5
3634,1750000.0,eskisehir,55.0,2.0,2.0,0.0,Klimalı,2
3640,1450000.0,eskisehir,50.0,2.0,2.0,0.0,Klimalı,4
3643,1298000.0,eskisehir,68.0,1.0,2.0,0.0,Yerden Isıtma,5
3648,1250000.0,eskisehir,55.0,1.0,2.0,0.0,Klimalı,4
3656,1190000.0,eskisehir,60.0,2.0,2.0,13.0,Klimalı,3
3658,1349999.0,eskisehir,55.0,2.0,2.0,13.0,Klimalı,2
3660,1400000.0,eskisehir,60.0,2.0,2.0,0.0,Kombi Doğalgaz,4
3672,1175000.0,eskisehir,43.0,1.0,2.0,13.0,Klimalı,4
3674,1350000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,5
3682,1300000.0,eskisehir,90.0,1.0,2.0,25.0,Sobalı,3
3684,1070000.0,eskisehir,55.0,2.0,2.0,7.0,Klimalı,3
3685,1400000.0,eskisehir,65.0,2.0,2.0,0.0,Klimalı,2
3688,1500000.0,eskisehir,65.0,2.0,2.0,0.0,Kombi Doğalgaz,7
3696,1500000.0,eskisehir,60.0,1.0,2.0,0.0,Klimalı,5
3699,1400000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,2
3702,1375000.0,eskisehir,65.0,1.0,2.0,0.0,Klimalı,5
3704,1290000.0,eskisehir,70.0,2.0,2.0,7.0,Klimalı,6
3732,1300000.0,eskisehir,50.0,2.0,2.0,0.0,Kombi Doğalgaz,5
3746,1050000.0,eskisehir,50.0,2.0,2.0,13.0,Klimalı,2
3748,1300000.0,eskisehir,52.0,1.0,2.0,7.0,Klimalı,3
3752,1250000.0,eskisehir,45.0,2.0,2.0,0.0,Kombi Doğalgaz,5
3756,1485000.0,eskisehir,60.0,1.0,2.0,13.0,Klimalı,7
3764,1045000.0,eskisehir,55.0,2.0,2.0,13.0,Klimalı,4
3767,1460000.0,eskisehir,65.0,2.0,2.0,7.0,Klimalı,7
3768,1249000.0,eskisehir,50.0,2.0,2.0,7.0,Kombi Doğalgaz,2
3769,1350000.0,eskisehir,45.0,1.0,2.0,0.0,Klimalı,4
3772,2500000.0,eskisehir,75.0,2.0,2.0,0.0,Kombi Doğalgaz,3
3775,1450000.0,eskisehir,60.0,2.0,2.0,0.0,Klimalı,3
