,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Tür,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
379,1595000,adana,70,1,3,Konut,Klimalı,7,8
380,2250000,adana,55,7,3,Konut,Kombi Doğalgaz,0,8
381,3500000,adana,136,3,3,Konut,Klimalı,25,3
382,2100000,adana,130,2,4,Konut,Kombi Doğalgaz,25,9
383,6599000,adana,190,4,5,Konut,Kombi Doğalgaz,,15
384,3289000,adana,165,2,4,Konut,Kombi Doğalgaz,7,12
385,4599000,adana,140,13,4,Konut,Kombi Doğalgaz,7,15
386,1644000,adana,100,3,3,Konut,Klimalı,25,5
387,1645000,adana,80,2,3,Konut,Klimalı,25,4
388,950000,adana,100,2,4,Konut,Klimalı,25,3
389,2095000,adana,145,2,4,Konut,Kombi Doğalgaz,18,11
390,2450000,adana,75,9,3,Konut,Kombi Doğalgaz,4,15
391,1600000,adana,120,,4,Konut,Klimalı,25,1
392,800000,adana,45,7,2,Konut,Kombi Doğalgaz,0,12
393,2175000,adana,110,3,4,Konut,Klimalı,18,12
394,950000,adana,37,6,2,Konut,Klimalı,1,10
395,1360000,adana,119,,3,Konut,Klimalı,18,1
396,4295000,adana,160,7,4,Konut,Kombi Doğalgaz,13,21
397,1585000,adana,85,9,3,Konut,Kombi Doğalgaz,4,14
398,1950000,adana,85,2,3,Konut,Kombi Doğalgaz,0,13
399,1645000,adana,85,6,3,Konut,Kat Kaloriferi,13,7
400,2740000,adana,160,6,4,Konut,Isıtma Yok,1,11
401,2095000,adana,100,11,4,Konut,Kombi Doğalgaz,7,14
402,4099000,adana,364,,4,Konut,Klimalı,25,3
403,1589000,adana,145,4,4,Konut,Klimalı,18,14
404,2350000,adana,120,3,4,Konut,Kombi Doğalgaz,3,15
405,7200000,adana,197,7,5,Konut,Kombi Doğalgaz,13,14
406,1550000,adana,60,5,2,Konut,Klimalı,7,13
407,1180000,adana,44,1,2,Konut,Kombi Doğalgaz,0,8
408,1550000,adana,90,10,4,Konut,Klimalı,25,10
409,2250000,adana,125,10,4,Konut,Klimalı,,10
410,6500000,adana,170,9,5,Konut,Kombi Doğalgaz,7,15
411,2550000,adana,110,,4,Konut,Klimalı,13,1
412,6850000,adana,110,,4,Konut,Klimalı,13,3
413,3550000,adana,130,,4,Konut,Klimalı,7,2
414,2740000,adana,110,6,4,Konut,Kombi Doğalgaz,1,11
415,12500000,adana,180,,4,Konut,Kombi Doğalgaz,13,2
416,3590000,adana,145,12,4,Konut,Kombi Doğalgaz,13,12
417,15399000,adana,185,,5,Konut,Isı Pompası,0,2
